,SMILES,MIC,METAB,MO24,DP24,SM24,NC24,MORT,YSE,AXIS,EYE,SNOU,JAW,OTIC,PE,BRAI,SOMI,PFIN,CFIN,PIG,CIRC,TRUN,SWIM,NC,TR,MOV21,AUC21,LEL_MORT,LEL_YSE,LEL_AXIS,LEL_EYE,LEL_SNOU,LEL_JAW,LEL_OTIC,LEL_PE,LEL_BRAI,LEL_SOMI,LEL_PFIN,LEL_CFIN,LEL_PIG,LEL_CIRC,LEL_TRUN,LEL_SWIM,LEL_NC,LEL_TR,18_END_LEC,MOR_LEC,SUBLETH_17_END_LEC,TOX_SCO
4712,OC1=CC=C(C=C1)[N+]([O-])=O,,,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,ACT,
4713,OC1=CC=C(O)C=C1,,,ACT,INACT,ACT,ACT,ACT,INACT,INACT,ACT,INACT,INACT,ACT,ACT,INACT,INACT,INACT,ACT,INACT,INACT,ACT,ACT,ACT,INACT,ACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,ACT,INACT,
4714,OC1=CC=C2C=CC=CC2=C1N=NC1=CC=CC=C1,,,INACT,INACT,INACT,INACT,ACT,ACT,ACT,INACT,ACT,ACT,ACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,ACT,ACT,INACT,INACT,ACT,ACT,INACT,ACT,ACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,ACT,ACT,INACT,ACT,
4715,OC1=CC=CC2=CC=CN=C12,,,INACT,ACT,INACT,INACT,ACT,INACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,ACT,INACT,INACT,ACT,INACT,INACT,ACT,ACT,ACT,ACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,ACT,INACT,
4716,OC1=CC=CC=C1,,,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,ACT,INACT,
4717,OC1=CC=CC=C1Cl,,,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,
4718,OC1=NC(O)=NC(O)=N1,,,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,,,,
4719,OC1CCC(CC1)C1CCCCC1,,,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,,,,
4720,OC1CCCCC1,,,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,,,,
4721,OCC(Br)(CO)[N+]([O-])=O,,,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,
4722,OCC(CO)(CBr)CBr,,,INACT,INACT,INACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,
4723,OCC(CO)(CO)CO,,,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,,,,
4724,OCC(CO)(CO)[N+]([O-])=O,,,INACT,INACT,INACT,INACT,INACT,ACT,ACT,INACT,ACT,ACT,INACT,ACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,ACT,ACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,ACT,
4725,OCC(CO)N1C=NC(=C1C1=CC=NC(OC2=CC=CC=C2)=N1)C1=CC=C(F)C=C1,,,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,
4726,OCC(O)CO,,,INACT,ACT,INACT,INACT,INACT,INACT,ACT,INACT,INACT,INACT,ACT,INACT,ACT,ACT,INACT,ACT,ACT,ACT,ACT,ACT,INACT,ACT,ACT,ACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,ACT,INACT,
4727,OCC1=CC=CC=C1,,,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,
4728,OCC1CO1,,,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,
4729,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,ACT,INACT,
4730,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,ACT,INACT,INACT,INACT,ACT,ACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,ACT,ACT,
4731,OCCCBr,,,INACT,INACT,INACT,INACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,,,,
4732,OCCCl,,,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,
4733,OCCN(CCO)CCO,,,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,
4734,OCCNCCO,,,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,
4735,OCCO,,,INACT,INACT,INACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,ACT,INACT,
4736,OCCOC1=CC=CC=C1,,,INACT,INACT,INACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT
4737,OCCOCCO,,,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,ACT,INACT,
4738,OCCOCCOCCO,,,INACT,INACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,
4739,OCCS(O)(=O)=O.OCCS(O)(=O)=O.NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1,,,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,ACT,INACT,ACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,
4740,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,,,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,INACT,
